item;sourceFile;status;reason
1;ChatGPT Image 3 de jul. de 2026, 06_51_13 (2).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
3;ChatGPT Image 3 de jul. de 2026, 06_51_13 (3).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
5;ChatGPT Image 3 de jul. de 2026, 06_51_14 (5).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
9;ChatGPT Image 3 de jul. de 2026, 06_51_30 (5).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
14;ChatGPT Image 3 de jul. de 2026, 06_51_48 (5).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
15;ChatGPT Image 3 de jul. de 2026, 06_52_30 (1).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
17;ChatGPT Image 3 de jul. de 2026, 06_52_30 (3).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
18;ChatGPT Image 3 de jul. de 2026, 06_52_31 (4).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
22;ChatGPT Image 3 de jul. de 2026, 06_53_01 (3).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
23;ChatGPT Image 3 de jul. de 2026, 06_53_02 (4).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
24;ChatGPT Image 3 de jul. de 2026, 06_53_02 (5).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
26;ChatGPT Image 3 de jul. de 2026, 06_53_16 (2).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
31;ChatGPT Image 3 de jul. de 2026, 06_53_29 (2).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
32;ChatGPT Image 3 de jul. de 2026, 06_53_30 (3).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
38;ChatGPT Image 3 de jul. de 2026, 07_17_09 (4).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
39;ChatGPT Image 3 de jul. de 2026, 07_17_09 (5).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
50;ChatGPT Image 3 de jul. de 2026, 07_18_02 (1).png;DUPLICADA_OU_VARIACAO_PENDENTE;"Imagem alternativa do cabide organizador; produto ja recebeu imagem principal no item 59."
53;ChatGPT Image 3 de jul. de 2026, 07_18_02 (4).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
54;ChatGPT Image 3 de jul. de 2026, 07_18_03 (5).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
55;ChatGPT Image 3 de jul. de 2026, 07_18_14 (1).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
56;ChatGPT Image 3 de jul. de 2026, 07_18_14 (2).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
63;ChatGPT Image 3 de jul. de 2026, 07_18_52 (1).png;DUPLICADA_OU_VARIACAO_PENDENTE;"Imagem alternativa do perfume La Bella; produto ja recebeu imagem principal no item 107."
64;ChatGPT Image 3 de jul. de 2026, 07_18_52 (2).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
67;ChatGPT Image 3 de jul. de 2026, 07_19_24 (3).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
68;ChatGPT Image 3 de jul. de 2026, 07_19_25 (4).png;PENDENTE_REVISAO;Sem correspondencia segura com SKU unico no export local do Bling. Precisa revisar antes de associar.
