productId,sku,slug,productName,category,subcategory,color,flavor,variation,currentImage,imageStatus,desiredFileName,status,generatedPrompt
16666400685,3104000004763,cachecol-xadrez,CACHECOL XADREZ,acessorios-inverno,,,,,,SEM_IMAGEM,cachecol-xadrez-3104000004763.jpg,FILA,"Imagem comercial de marketplace de um acessório de inverno chamado ""CACHECOL XADREZ"". Produto bem dobrado/exibido sobre fundo clean. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666393768,3104000004762,cachecol-liso-pompom,CACHECOL LISO POMPOM,acessorios-inverno,,,,,,SEM_IMAGEM,cachecol-liso-pompom-3104000004762.jpg,FILA,"Imagem comercial de marketplace de um acessório de inverno chamado ""CACHECOL LISO POMPOM"". Produto bem dobrado/exibido sobre fundo clean. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666386904,3104000004761,cachecol-xadrez-premium,CACHECOL XADREZ PREMIUM,acessorios-inverno,,,,,,SEM_IMAGEM,cachecol-xadrez-premium-3104000004761.jpg,FILA,"Imagem comercial de marketplace de um acessório de inverno chamado ""CACHECOL XADREZ PREMIUM"". Produto bem dobrado/exibido sobre fundo clean. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666378189,,case-ip-16e-cor-branco,CASE IP 16E Cor:BRANCO,capinhas-acessorios-celular,,Branco,,Branco,,SEM_IMAGEM,case-ip-16e-cor-branco.jpg,AGUARDANDO_ESTOQUE,"Imagem comercial de marketplace de uma capinha/acessório de celular chamado ""CASE IP 16E Cor:BRANCO"" na cor Branco. Perspectiva mostrando frente e lateral. Sem texto ou marcas de terceiros visíveis. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666378185,,case-ip-16e-cor-rosa,CASE IP 16E Cor:ROSA,capinhas-acessorios-celular,,Rosa,,Rosa,,SEM_IMAGEM,case-ip-16e-cor-rosa.jpg,AGUARDANDO_ESTOQUE,"Imagem comercial de marketplace de uma capinha/acessório de celular chamado ""CASE IP 16E Cor:ROSA"" na cor Rosa. Perspectiva mostrando frente e lateral. Sem texto ou marcas de terceiros visíveis. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666378183,,case-ip-16e-cor-vermelho,CASE IP 16E Cor:VERMELHO,capinhas-acessorios-celular,,Vermelho,,Vermelho,,SEM_IMAGEM,case-ip-16e-cor-vermelho.jpg,AGUARDANDO_ESTOQUE,"Imagem comercial de marketplace de uma capinha/acessório de celular chamado ""CASE IP 16E Cor:VERMELHO"" na cor Vermelho. Perspectiva mostrando frente e lateral. Sem texto ou marcas de terceiros visíveis. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666378181,,case-ip-16e-cor-preto,CASE IP 16E Cor:PRETO,capinhas-acessorios-celular,,Preto,,Preto,,SEM_IMAGEM,case-ip-16e-cor-preto.jpg,FILA,"Imagem comercial de marketplace de uma capinha/acessório de celular chamado ""CASE IP 16E Cor:PRETO"" na cor Preto. Perspectiva mostrando frente e lateral. Sem texto ou marcas de terceiros visíveis. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666355912,3104000004758,mini-bullet-duplo-linguinha-roxo,MINI BULLET DUPLO LINGUINHA ROXO,sex-shop,sex-shop-vibradores,Roxo,,Roxo,/uploads/products/mini-bullet-duplo-linguinha.png,IMAGEM_GENERICA_KA,mini-bullet-duplo-linguinha-roxo-3104000004758.jpg,FILA,"Imagem comercial premium de marketplace de um vibrador/bullet chamado ""MINI BULLET DUPLO LINGUINHA ROXO"" na cor Roxo. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666351847,3104000004756,vibrador-sexy-controle-preto,VIBRADOR SEXY CONTROLE PRETO,sex-shop,sex-shop-vibradores,Preto,,Preto,/uploads/products/vibrador-sexy-controle-cores.png,IMAGEM_GENERICA_KA,vibrador-sexy-controle-preto-3104000004756.jpg,FILA,"Imagem comercial premium de marketplace de um vibrador/bullet chamado ""VIBRADOR SEXY CONTROLE PRETO"" na cor Preto. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
16666351572,3104000004755,vibrador-sexy-controle-rosa,VIBRADOR SEXY CONTROLE ROSA,sex-shop,sex-shop-vibradores,Rosa,,Rosa,/uploads/products/vibrador-sexy-controle-cores.png,IMAGEM_GENERICA_KA,vibrador-sexy-controle-rosa-3104000004755.jpg,FILA,"Imagem comercial premium de marketplace de um vibrador/bullet chamado ""VIBRADOR SEXY CONTROLE ROSA"" na cor Rosa. Fundo branco ou cinza claro limpo, produto inteiro e centralizado, iluminação de estúdio profissional com sombra leve, perspectiva levemente inclinada ou frontal. Estilo fotográfico de e-commerce premium (referência: Shopee / Mercado Livre). Sem texto, sem watermark, sem pessoas, sem nudez, sem conteúdo explícito. Produto deve aparecer completo, sem corte."
